Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"154247","1","155390","","2008-09-30 18:07:48","","1","5001","<p>I have written a watir script that downloads files. One of the files it downloads has a .dcf extension. Months ago, on my machine, I changed a setting somewhere so that .dcf files prompt for download (""Do you want to open or save this file?"") instead of opening in the browser. This is the behavior that I desire.  I am using XP Pro/IE7.</p>

<p>I'm now setting up a dedicated test machine, but cannot seem to find the configuration option that I did on my machine - which was so easy to find that I didn't make note of it.  All of the solutions that I am finding now are either about changing the download itself or modifying the registry. I am looking for something from the client perspective at the browser/IE level.</p>
","22421","mandersn","1037","onnodb","2008-09-30 18:39:56","2009-02-04 00:50:23","How do I configure IE7 to download filetype instead of opening in browser","<internet-explorer><download><watir><browser-automation>","3","0","1","",""
"410222","1","410229","","2009-01-04 01:21:44","","8","5001","<p>I know that a lot of examples exist where a SqlConnection is defined and then a SqlCommand is defined, both in Using blocks:</p>

<pre><code>using (var conn = new SqlConnection(connString)) {
      using (var cmd = new SqlCommand()) {
        cmd.Connection = conn;
        //open the connection
      }
}
</code></pre>

<p>My question: If I define the connection directly on the SqlCommand, does the connection close when the command is disposed?</p>

<pre><code>using (var cmd = new SqlCommand()) {
      cmd.Connection = new SqlConnection(connString);
      //open the connection
}
</code></pre>
","10104","Mike","","","","2009-01-04 01:59:09","Does connection close when command is disposed and the connection is defined directly on the command?","<c#><using><using-statement>","4","0","","",""
"13080220","1","13080251","","2012-10-25 17:48:46","","6","5002","<p>Does the order of properties in a CSS declaration have an effect on the rendering of the HTML?</p>
","513909","Pete","","","","2012-10-26 03:16:39","How important is CSS property order?","<css>","4","1","","",""
"255876","1","255880","","2008-11-01 18:04:22","","11","5002","<p>I want to make an MVC route for a list of news, which can be served in several formats.</p>

<ul>
<li>news -> (X)HTML</li>
<li>news.rss -> RSS</li>
<li>news.atom -> ATOM</li>
</ul>

<p>Is it possible to do this (the more general ""optional extension"" situation crops up in several places in my planned design) with one route? Or do I need to make two routes like this:</p>

<pre><code>routes.MapRoute(""News-ImplicitFormat"",
                ""news"",
                new { controller = ""News"", action = ""Browse"", format = """" });

routes.MapRoute(""News-ExplicitFormat"",
                ""news.{format}""
                new { controller = ""News"", action = ""Browse"" });
</code></pre>

<p>It seems like it would be useful to have the routing system support something like:</p>

<pre><code>routes.MapRoute(""News"",
                ""news(.{format})?"",
                new { controller = ""News"", action = ""Browse"" });
</code></pre>
","11173","Doug McClean","","","","2008-11-03 21:54:11","ASP.NET MVC Routes with ""File Extensions""","<asp.net-mvc>","2","0","8","",""
"329891","1","329947","","2008-12-01 02:49:12","","7","5002","<p>Should the model just be data structures?  Where do the services (data access, business logic) sit in MVC?</p>

<p>Lets assume I have a view that shows a list of customer orders.  I have a controller class that handles the clicks on the view controls (buttons, etc).</p>

<p>Should the controller kick off the data access code? Think button click, reload order query. Or should this go through the model layer at all?</p>

<p>Any example code would be great!</p>
","4653","ak","13103","Jason Jackson","2008-12-01 03:36:47","2008-12-09 09:25:33","MVC: View and Model Interaction Regarding Data Access, etc","<c#><model-view-controller>","4","1","5","",""
"605967","1","605995","","2009-03-03 11:08:54","","3","5003","<p>HTML:  </p>

<pre><code>&lt;td align=""center"" width=""100%""&gt;
&lt;a class=""Forum_ib_moderate"" href=""Default.aspx"" title=""Moderate""&gt;&lt;/a&gt;
&lt;a class=""Forum_ib_admin"" href=""Default.aspx"" title=""Admin""&gt;&lt;/a&gt;
...
</code></pre>

<p>CSS:  </p>

<pre><code>A.Forum_ib_moderate:link, A.Forum_ib_moderate:visited, A.Forum_ib_moderate:active, A.Forum_ib_moderate:hover
{
background-image: url(images/ib_moderate.png);
background-repeat: no-repeat;
background-position: center;
padding-left: 2px;
padding-right: 2px;
padding-top: 8px;
padding-bottom: 0px;
height: 35px;
width: 35px;
display:table-cell;
}

A.Forum_ib_admin:hover
{
background-image: url(images/ib_admin_hover.png);

}
</code></pre>

<p>the menu looks just fine in IE, shows up vertical in Firefox. If i turn off ""display:table-cell;"" style in Firebug and then turn it back on, it fixes that menu node.</p>

<p><a href=""https://i.stack.imgur.com/Fs5qm.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/Fs5qm.jpg"" alt=""alt text""></a>
</p>

<p>any ideas?</p>

<p>p.s.: i don't want to mess with the menu itself, since it's a part of a DNN Forum 4.4.3. I'd rather fix the CSS to make it show correctly.</p>
","3661","rm","4751173","rm","2019-03-04 17:01:22","2019-03-04 17:01:22","CSS menu broken in Firefox (display:table-cell;)","<css><firefox><dotnetnuke><dotnetnuke-5>","4","0","","",""
"581859","1","581884","","2009-02-24 14:05:25","","3","5003","<p>I have the following statement</p>

<pre><code>DateTime now = DateTime.Now;
string test = string.Format(""{0}{1}{2}{3}"", now.Day, now.Month, now.Year, now.Hour);
</code></pre>

<p>This gives me: </p>

<pre><code>test = ""242200915""
</code></pre>

<p>But I'd like to have something like:</p>

<pre><code>test = ""2402200915""
</code></pre>

<p>So the question is, how can I enforce the string formatter to output each int with the width of 2 while padding with zeroes?</p>
","65577","SDD","60761","Ian Nelson","2009-10-28 19:47:25","2013-08-13 17:23:42","How to enforce minimum width of formatted string in C#","<c#><.net><string><formatting>","3","0","","",""
"615479","1","","","2009-03-05 16:14:55","","6","5003","<p>I am at present dealing with a corrupt TrueType font. Programs available to me tell me there is a problem with the <a href=""http://developer.apple.com/textfonts/ttrefman/rm06/Chap6maxp.html"" rel=""noreferrer""><code>maxp</code></a> table -- the <code>maxContours</code> member has a value that is too large. Is there a sure-fire way to detect when a <code>maxContours</code> value is too high or too low (yes that too can be a problem)? (Fonts are programs so one way to detect a font file is good is to execute them, but this is not an acceptable solution for me.)</p>

<p>I don't need a font library because I can't add one. I have already rolled my own TrueType font parser. What remains is to check if a given value of the above mentioned table is incorrect. I'll then add my parser and the checks to my product.</p>

<p>I don't have the option of rebuilding the font. I am a consumer -- I need to detect if the incoming font is corrupt or not and if it is bail out with as little work done as possible.</p>

<p>In case it helps -- I'm on Windows XP/Vista both 32 &amp; 64 bit and their server versions!</p>
","66692","dirkgently","66692","dirkgently","2009-03-05 17:29:31","2012-01-29 22:58:18","Corrupt TrueType Font Detection","<fonts><true-type-fonts>","3","0","3","",""
"420825","1","420836","","2009-01-07 15:52:11","","13","5003","<p>I was reading about threading and about locking. It is common practise that you can't (well should not) lock a value type.</p>

<p>So the question is, what is the recommended way of locking a value type? I know there's a few ways to go about doing one thing but I haven't seen an example. Although there was a good thread on MSDN forums but I can't seem to find that now.</p>

<p>Thanks</p>
","32484","GSS","44853","lc","2009-01-07 15:53:45","2011-09-27 15:27:16","How to properly lock a value type?","<c#><locking>","4","1","3","",""
"487024","1","487286","","2009-01-28 09:36:56","","0","5003","<p>I need help to script all the databases on an SQL 2005 server and possibly view their activity (specifically the date of last activity).
I need to drop all databases that are NOT active on the server.</p>
","13370","Jangwenyi","13370","Jangwenyi","2009-01-28 14:08:05","2011-02-23 09:57:24","SQL Server 2000/5 - Script to get list of Active or Inactive databases (except system ones)","<sql-server>","4","1","1","",""
